Index        TIME               V(VOUT)              V(IN)               V(1)        
298      4.5142937611e-06    2.8190247790e+00    4.8643088184e-01    4.6611768508e-01
299      4.5144014669e-06    2.8419808217e+00    4.1495969810e-01    3.9503183607e-01
300      4.5145091727e-06    2.8626316205e+00    3.4334711060e-01    3.2394598705e-01
301      4.5146168786e-06    2.8799141193e+00    2.7154540986e-01    2.5286013804e-01
302      4.5147245844e-06    2.8923908828e+00    1.9947313388e-01    1.8177428902e-01
303      4.5148322902e-06    2.8986922348e+00    1.2698247880e-01    1.1068844000e-01
304      4.5149292255e-06    2.8992399612e+00    6.1502669241e-02    4.6711175891e-02
305      4.5150000000e-06    2.8978160887e+00    1.4137645797e-02    3.1130653610e-13
306      4.5150047157e-06    2.8977264511e+00    1.1575447469e-02    0.0000000000e+00
307      4.5150084398e-06    2.8976670944e+00    9.8529833073e-03    0.0000000000e+00
308      4.5150121640e-06    2.8976126155e+00    8.2686159317e-03    0.0000000000e+00
309      4.5150196122e-06    2.8975276885e+00    5.8080955010e-03    0.0000000000e+00
310      4.5150270605e-06    2.8974671310e+00    4.0815568248e-03    0.0000000000e+00
311      4.5150419570e-06    2.8973917913e+00    1.9746859225e-03    0.0000000000e+00
312      4.5150717501e-06    2.8973332390e+00    3.7126869377e-04    0.0000000000e+00
313      4.5151313362e-06    2.8973187119e+00   -2.2175473852e-05    0.0000000000e+00
314      4.5151849638e-06    2.8973210906e+00    4.1763876720e-05    0.0000000000e+00
315      4.5152385913e-06    2.8973207966e+00    3.4185196981e-05    0.0000000000e+00
316      4.5153458464e-06    2.8973208507e+00    3.5340867364e-05    0.0000000000e+00
317      4.5155603565e-06    2.8973208188e+00    3.4753835859e-05    0.0000000000e+00
318      4.5159893767e-06    2.8973208444e+00    3.5183948717e-05    0.0000000000e+00
319      4.5168474172e-06    2.8973208213e+00    3.4813901187e-05    0.0000000000e+00
320      4.5185634982e-06    2.8973208433e+00    3.5157519895e-05    0.0000000000e+00
321      4.5219956602e-06    2.8973208218e+00    3.4826313257e-05    0.0000000000e+00
322      4.5288599842e-06    2.8973208430e+00    3.5151503401e-05    0.0000000000e+00
323      4.5425886321e-06    2.8973208220e+00    3.4829275428e-05    0.0000000000e+00
324      4.5700459279e-06    2.8973208430e+00    3.5150033675e-05    0.0000000000e+00
325      4.6249605195e-06    2.8973208220e+00    3.4830007471e-05    0.0000000000e+00
326      4.7347897027e-06    2.8973208429e+00    3.5149668356e-05    0.0000000000e+00
327      4.9544480692e-06    2.8973208220e+00    3.4830189955e-05    0.0000000000e+00
